-30,2.15173,2.14933,2.10751
-29,2.12544,2.16826,1.32516
-28,2.12115,2.16783,1.29755
-27,2.11725,2.1624,1.2697
-26,2.08719,2.07342,1.2459
-25,2.10361,2.15345,1.21459
-24,2.07933,2.10924,1.18947
-23,2.09271,2.14063,1.16079
-22,2.05297,2.0793,1.13709
-21,2.03302,2.0176,1.11534
-20,2.03661,2.01199,1.08881
-19,2.0516,2.02918,1.06001
-18,2.04912,2.0864,1.03096
-17,2.03538,2.07215,1.00448
-16,2.01837,2.04099,0.97741
-15,2.009,2.04161,0.952771
-14,1.99161,2.02117,0.926229
-13,1.96894,2.00506,0.899247
-12,1.95098,1.98698,0.872177
-11,1.93129,1.96535,0.844916
-10,1.90617,1.9454,0.817099
-9,1.88497,1.92212,0.789605
-8,1.85948,1.89884,0.761744
-7,1.83641,1.87517,0.735391
-6,1.81207,1.85074,0.708776
-5,1.78566,1.82591,0.682423
-4,1.76282,1.80158,0.657668
-3,1.73739,1.7766,0.632927
-2,1.71211,1.75197,0.61031
-1,1.68576,1.72904,0.589085
0,1.66292,1.70702,0.571595
1,1.62467,1.67045,0.54766
2,1.60085,1.64883,0.537245
3,1.57582,1.62416,0.529247
4,1.55266,1.60015,0.522904
5,1.52742,1.57504,0.518114
