-65,2.18936
-64,2.09905
-63,2.07997
-62,2.06213
-61,2.04047
-60,2.05459
-59,2.03372
-58,2.01095
-57,1.98919
-56,1.96661
-55,1.94608
-54,1.92501
-53,1.90435
-52,1.88529
-51,1.86504
-50,1.84408
-49,1.82254
-48,1.80068
-47,1.77716
-46,1.75123
-45,1.72502
-44,1.69476
-43,1.66814
-42,1.63922
-41,1.61209
-40,1.58393
-39,1.55443
-38,1.52389
-37,1.49221
-36,1.46321
-35,1.43554
-34,1.40777
-33,1.37934
-32,1.35266
-31,1.32624
-30,1.29975
-29,1.2733
-28,1.24799
-27,1.22163
-26,1.19542
-25,1.16973
-24,1.14415
-23,1.11831
-22,1.09272
-21,1.06752
-20,1.04136
-19,1.01546
-18,0.989795
-17,0.963148
-16,0.936985
-15,0.911438
-14,0.885508
-13,0.858274
-12,0.830853
-11,0.803263
-10,0.774999
-9,0.747774
-8,0.720095
-7,0.694362
-6,0.668485
-5,0.642909
-4,0.620057
-3,0.597256
-2,0.577391
-1,0.559769
0,0.545805
1,0.528314
2,0.521579
3,0.516482
4,0.51326
5,0.510914
