-30,2.16347,2.17349
-29,2.11745,2.15637
-28,2.11948,2.15835
-27,2.11509,2.16085
-26,2.11078,2.1539
-25,2.10091,2.14879
-24,2.09929,2.14103
-23,2.09096,2.13272
-22,2.08361,2.12184
-21,2.07527,2.11068
-20,2.06539,2.09872
-19,2.05493,2.08553
-18,2.04367,2.06907
-17,2.0327,2.05117
-16,2.01266,2.03167
-15,2.00433,2.01599
-14,1.98487,1.99293
-13,1.96995,1.97438
-12,1.94819,1.95128
-11,1.92739,1.93033
-10,1.90373,1.9073
-9,1.88066,1.88334
-8,1.85647,1.859
-7,1.83318,1.83558
-6,1.80936,1.81034
-5,1.78289,1.78538
-4,1.76039,1.76125
-3,1.7343,1.73669
-2,1.71053,1.71291
-1,1.68418,1.68739
0,1.66184,1.66378
1,1.62293,1.62401
2,1.60023,1.60024
3,1.57412,1.57541
4,1.54965,1.5504
5,1.52369,1.52551
