-20,2.19827,2.16814
-19,2.1973,2.16556
-18,2.19795,2.17217
-17,2.1973,2.16653
-16,2.19231,2.17426
-15,2.19795,2.16524
-14,2.19682,2.15573
-13,2.1965,2.16733
-12,2.19859,2.16524
-11,2.19875,2.16733
-10,2.1625,2.15847
-9,2.19891,2.17249
-8,2.19891,2.16556
-7,2.18022,2.16782
-6,2.19746,2.17893
-5,2.18925,2.16701
-4,2.18441,2.16765
-3,2.19295,2.17281
-2,2.20149,2.16169
-1,2.20117,2.17313
0,2.19376,2.16234
1,2.19505,2.17104
2,2.18876,2.16782
3,2.18876,2.15525
4,2.19182,2.17426
5,2.18506,2.1575
6,2.19037,2.16395
7,2.18925,2.16556
8,2.18844,2.16701
9,2.18796,2.17329
10,2.19311,2.17265
