-65,2.18171
-64,2.1788
-63,2.18109
-62,2.17659
-61,2.18072
-60,2.17388
-59,2.17896
-58,2.1809
-57,2.17453
-56,2.17537
-55,2.17426
-54,2.17426
-53,2.17425
-52,2.17222
-51,2.1691
-50,2.16521
-49,2.16131
-48,2.1559
-47,2.14931
-46,2.13857
-45,2.1322
-44,2.12228
-43,2.10848
-42,2.09184
-41,2.07666
-40,2.05796
-39,2.03772
-38,2.01814
-37,1.99643
-36,1.97608
-35,1.95582
-34,1.93617
-33,1.91632
-32,1.89754
-31,1.87736
-30,1.85688
-29,1.83611
-28,1.81438
-27,1.79081
-26,1.76798
-25,1.7425
-24,1.71563
-23,1.68577
-22,1.65696
-21,1.6276
-20,1.59794
-19,1.56877
-18,1.53863
-17,1.50676
-16,1.47689
-15,1.44768
-14,1.41822
-13,1.38784
-12,1.3586
-11,1.33075
-10,1.30297
-9,1.27678
-8,1.24987
-7,1.22462
-6,1.19864
-5,1.17247
-4,1.14801
-3,1.12217
-2,1.09721
-1,1.07133
0,1.04666
1,1.00312
2,0.9782
3,0.952129
4,0.926928
5,0.900708
6,0.8757
7,0.849421
8,0.822043
9,0.796024
10,0.768769
