-30,2.17315,2.1709
-29,2.13253,2.15844
-28,2.12777,2.1559
-27,2.12248,2.15054
-26,2.11861,2.145
-25,2.1117,2.1398
-24,2.10535,2.12179
-23,2.09935,2.12265
-22,2.09426,2.11339
-21,2.08527,2.1034
-20,2.0326,2.04025
-19,2.05867,2.0689
-18,2.05863,2.06298
-17,2.0479,2.04793
-16,2.03306,2.02764
-15,2.02093,2.00989
-14,2.00571,1.98991
-13,1.98667,1.96914
-12,1.96884,1.94681
-11,1.94845,1.92584
-10,1.92565,1.9029
-9,1.90322,1.87813
-8,1.87942,1.85387
-7,1.85758,1.82962
-6,1.83426,1.80413
-5,1.8078,1.77961
-4,1.78617,1.75613
-3,1.75941,1.73098
-2,1.73576,1.70669
-1,1.71025,1.68192
0,1.68789,1.65838
1,1.65058,1.61769
2,1.62786,1.59414
3,1.60125,1.5684
4,1.57761,1.54326
5,1.55166,1.51806
