-30,2.17445,2.17104
-29,2.12324,2.11504
-28,2.11939,2.11194
-27,2.11323,2.10278
-26,2.10256,2.09245
-25,2.09718,2.0814
-24,2.08809,2.074
-23,2.07764,2.05957
-22,2.0657,2.04561
-21,2.05073,2.02782
-20,2.03577,2.01353
-19,2.0195,1.99611
-18,2.00262,1.97642
-17,1.98175,1.95467
-16,1.96047,1.93248
-15,1.9386,1.90785
-14,1.91492,1.88549
-13,1.88883,1.85782
-12,1.86452,1.83143
-11,1.83532,1.80325
-10,1.8074,1.77553
-9,1.78416,1.75176
-8,1.75908,1.72619
-7,1.73676,1.70402
-6,1.71354,1.67984
-5,1.68737,1.654
-4,1.66556,1.6315
-3,1.63904,1.60432
-2,1.61615,1.58071
-1,1.58957,1.55434
0,1.56798,1.53145
1,1.52561,1.48909
2,1.50354,1.46613
3,1.47638,1.43891
4,1.45325,1.41475
5,1.42672,1.38807
