-30,2.19105,1.50703,2.18958
-29,2.14173,2.11848,1.32191
-28,2.13785,2.12958,1.29574
-27,2.1356,2.12865,1.2688
-26,2.10401,2.10779,1.24224
-25,2.12333,2.11524,1.21602
-24,2.11441,2.12008,1.18992
-23,2.09901,2.10695,1.16378
-22,2.0986,2.10782,1.13835
-21,2.08867,2.09288,1.11319
-20,2.08558,2.08394,1.08729
-19,2.07758,2.08028,1.06186
-18,2.06446,2.0684,1.03642
-17,2.05123,2.05589,1.00998
-16,2.04144,2.04199,0.983712
-15,2.02652,2.03169,0.958283
-14,2.01364,2.0165,0.932736
-13,1.99321,2.00349,0.905989
-12,1.97627,1.9785,0.879358
-11,1.9536,1.96234,0.852464
-10,1.93026,1.93788,0.824954
-9,1.91053,1.91108,0.797372
-8,1.88707,1.88267,0.769423
-7,1.86483,1.85844,0.743334
-6,1.84053,1.84859,0.716879
-5,1.81658,1.81586,0.689795
-4,1.79323,1.80318,0.665391
-3,1.76636,1.78419,0.640796
-2,1.74124,1.74589,0.61856
-1,1.71507,1.71895,0.597598
0,1.69053,1.69966,0.580313
1,1.64925,1.65939,0.556671
2,1.62501,1.62794,0.546535
3,1.59746,1.60498,0.538361
4,1.57283,1.58823,0.531652
5,1.5478,1.56081,0.527287
