-30,2.15517,2.15227
-29,2.10377,2.08121
-28,2.09748,2.09072
-27,2.09458,2.07912
-26,2.08685,2.07638
-25,2.07879,2.0485
-24,2.07041,2.03319
-23,2.05785,2.04786
-22,2.04528,2.04334
-21,2.04334,2.03416
-20,2.02675,2.01676
-19,2.00918,1.99807
-18,1.99291,1.98244
-17,1.9768,1.96971
-16,1.96278,1.94618
-15,1.94151,1.92072
-14,1.92572,1.90139
-13,1.8972,1.87512
-12,1.87142,1.8466
-11,1.83855,1.81824
-10,1.80487,1.78843
-9,1.78424,1.76394
-8,1.75556,1.74025
-7,1.73655,1.7185
-6,1.71625,1.69369
-5,1.6866,1.67097
-4,1.66613,1.64889
-3,1.63761,1.62359
-2,1.61425,1.60168
-1,1.58557,1.57461
0,1.56543,1.55205
1,1.52208,1.51048
2,1.49936,1.48728
3,1.47084,1.46182
4,1.44764,1.43749
5,1.42009,1.41155
