-30,2.14527,2.15094,2.19206
-29,2.1072,2.14338,1.32673
-28,2.10701,2.13737,1.29903
-27,2.10293,2.13891,1.27185
-26,2.09581,2.13534,1.24462
-25,2.09237,2.12765,1.21843
-24,2.08287,2.12143,1.19171
-23,2.07953,2.12384,1.16507
-22,2.07443,2.11723,1.13946
-21,2.06662,2.10904,1.11408
-20,2.06022,2.09731,1.08724
-19,2.04969,2.08928,1.06164
-18,2.04066,2.08058,1.03548
-17,2.02991,2.06727,1.00887
-16,2.02019,2.05823,0.982493
-15,2.00558,2.04469,0.956594
-14,1.99117,2.02793,0.930565
-13,1.97851,2.01219,0.902982
-12,1.96114,1.99607,0.875853
-11,1.94281,1.9754,0.848886
-10,1.92556,1.95928,0.820395
-9,1.907,1.94015,0.792783
-8,1.88722,1.91829,0.76441
-7,1.86608,1.89343,0.73838
-6,1.84868,1.87542,0.710929
-5,1.82611,1.85275,0.684357
-4,1.80603,1.83024,0.660363
-3,1.78241,1.80642,0.634817
-2,1.75978,1.78263,0.612171
-1,1.73847,1.75785,0.591253
0,1.71909,1.73346,0.573675
1,1.69066,1.69358,0.549388
2,1.66873,1.6683,0.539208
3,1.64586,1.6435,0.531136
4,1.62094,1.61778,0.524926
5,1.59631,1.59316,0.520956
