-65,2.18808
-64,2.18517
-63,2.18624
-62,2.18554
-61,2.18457
-60,2.18649
-59,2.18533
-58,2.18376
-57,2.18389
-56,2.18255
-55,2.18151
-54,2.18022
-53,2.17746
-52,2.1756
-51,2.17188
-50,2.16765
-49,2.16335
-48,2.1578
-47,2.15014
-46,2.14052
-45,2.13146
-44,2.12023
-43,2.10566
-42,2.08878
-41,2.07131
-40,2.05173
-39,2.03053
-38,2.00854
-37,1.98628
-36,1.96402
-35,1.9431
-34,1.92231
-33,1.90177
-32,1.88156
-31,1.85934
-30,1.83703
-29,1.81441
-28,1.79035
-27,1.76406
-26,1.73783
-25,1.71051
-24,1.68298
-23,1.65359
-22,1.62501
-21,1.59659
-20,1.56708
-19,1.53796
-18,1.5089
-17,1.47971
-16,1.45181
-15,1.42413
-14,1.39681
-13,1.36855
-12,1.34131
-11,1.31501
-10,1.28831
-9,1.26274
-8,1.23627
-7,1.21117
-6,1.18546
-5,1.1593
-4,1.13475
-3,1.10897
-2,1.08391
-1,1.05811
0,1.03295
1,0.989481
2,0.96454
3,0.938316
4,0.912682
5,0.88662
6,0.861392
7,0.834754
8,0.807636
9,0.781718
10,0.753923
