-65,2.17016
-64,2.09562
-63,2.07803
-62,2.06084
-61,2.04068
-60,2.05437
-59,2.03385
-58,2.01334
-57,1.9915
-56,1.97106
-55,1.95121
-54,1.93115
-53,1.91155
-52,1.89314
-51,1.87398
-50,1.8561
-49,1.83554
-48,1.81697
-47,1.79714
-46,1.77555
-45,1.75328
-44,1.72823
-43,1.70112
-42,1.67087
-41,1.64102
-40,1.60879
-39,1.57631
-38,1.54344
-37,1.50817
-36,1.47491
-35,1.44422
-34,1.41495
-33,1.38482
-32,1.35688
-31,1.32891
-30,1.30081
-29,1.27352
-28,1.24725
-27,1.22047
-26,1.19352
-25,1.16779
-24,1.14155
-23,1.11518
-22,1.0894
-21,1.0642
-20,1.03801
-19,1.01199
-18,0.985785
-17,0.959253
-16,0.933105
-15,0.907208
-14,0.881124
-13,0.853729
-12,0.82604
-11,0.798032
-10,0.76947
-9,0.741769
-8,0.713468
-7,0.6874
-6,0.660768
-5,0.634279
-4,0.611027
-3,0.587899
-2,0.567831
-1,0.550239
0,0.536901
1,0.519595
2,0.512277
3,0.507021
4,0.503408
5,0.501436
