-65,2.17035
-64,2.09156
-63,2.07633
-62,2.05876
-61,2.03933
-60,2.05241
-59,2.03328
-58,2.01091
-57,1.99019
-56,1.96798
-55,1.947
-54,1.92616
-53,1.90675
-52,1.88616
-51,1.86685
-50,1.8473
-49,1.82689
-48,1.80596
-47,1.78356
-46,1.7611
-45,1.7361
-44,1.70826
-43,1.67913
-42,1.64876
-41,1.6194
-40,1.58731
-39,1.55499
-38,1.5224
-37,1.4907
-36,1.46112
-35,1.4327
-34,1.40418
-33,1.37527
-32,1.3485
-31,1.32164
-30,1.2944
-29,1.26763
-28,1.24165
-27,1.21508
-26,1.18844
-25,1.16278
-24,1.13666
-23,1.11093
-22,1.08493
-21,1.05966
-20,1.03335
-19,1.00746
-18,0.981215
-17,0.954787
-16,0.928506
-15,0.903289
-14,0.876651
-13,0.849153
-12,0.821654
-11,0.793733
-10,0.765007
-9,0.737592
-8,0.709372
-7,0.683449
-6,0.657172
-5,0.631236
-4,0.607818
-3,0.584489
-2,0.563968
-1,0.546259
0,0.532682
1,0.516315
2,0.509438
3,0.504075
4,0.500015
5,0.496808
