-30,2.14196,2.10715
-29,2.11698,2.10989
-28,2.10844,2.11328
-27,2.11102,2.11199
-26,2.10602,2.09346
-25,2.09942,2.09442
-24,2.09217,2.0767
-23,2.0854,2.08508
-22,2.07847,2.07331
-21,2.07283,2.07944
-20,2.06236,2.06639
-19,2.03932,2.05688
-18,2.03932,2.04689
-17,2.02014,2.03174
-16,2.01015,2.02465
-15,2.00242,2.00226
-14,1.9834,1.99597
-13,1.9768,1.99065
-12,1.95424,1.97148
-11,1.93442,1.9486
-10,1.92249,1.93957
-9,1.89929,1.91508
-8,1.87883,1.90155
-7,1.86352,1.87818
-6,1.84563,1.85933
-5,1.82453,1.83677
-4,1.80809,1.81744
-3,1.78618,1.79407
-2,1.76169,1.77232
-1,1.73977,1.7467
0,1.71866,1.72527
1,1.68112,1.68869
2,1.66243,1.66517
3,1.63584,1.6381
4,1.61199,1.61602
5,1.58798,1.59024
