-30,2.173,2.12374,2.0558
-29,2.12698,2.12535,1.30568
-28,2.12638,2.1146,1.2795
-27,2.11773,2.10087,1.25344
-26,2.11343,2.10577,1.22624
-25,2.10836,2.058,1.20071
-24,2.10812,2.08461,1.17396
-23,2.09815,2.09337,1.14784
-22,2.091,2.10021,1.12193
-21,2.08762,2.03595,1.09663
-20,2.07588,2.03415,1.07155
-19,2.068,2.04846,1.04494
-18,2.05797,2.07077,1.01926
-17,2.04635,2.06229,0.992336
-16,2.03488,2.04859,0.966043
-15,2.02234,2.03291,0.940496
-14,2.00674,2.01539,0.914686
-13,1.98943,1.99697,0.887733
-12,1.96927,1.97705,0.860722
-11,1.94941,1.95596,0.833652
-10,1.92487,1.93507,0.805718
-9,1.90179,1.91231,0.778311
-8,1.87791,1.88778,0.75023
-7,1.8543,1.86301,0.724288
-6,1.83036,1.83867,0.697526
-5,1.80546,1.81161,0.670866
-4,1.78274,1.78926,0.646184
-3,1.75539,1.76385,0.62137
-2,1.7315,1.73784,0.598562
-1,1.70417,1.71269,0.577308
0,1.67965,1.68968,0.55992
1,1.63882,1.65124,0.536307
2,1.61361,1.62829,0.526566
3,1.58729,1.60405,0.518715
4,1.56311,1.5792,0.512489
5,1.53834,1.55531,0.50808
