-65,2.17339
-64,2.08731
-63,2.07284
-62,2.05427
-61,2.03439
-60,2.04861
-59,2.02936
-58,2.00866
-57,1.98969
-56,1.9692
-55,1.95025
-54,1.93161
-53,1.91334
-52,1.89593
-51,1.87777
-50,1.85964
-49,1.83895
-48,1.82234
-47,1.80191
-46,1.78204
-45,1.76038
-44,1.7381
-43,1.71366
-42,1.68722
-41,1.65801
-40,1.62538
-39,1.59294
-38,1.56002
-37,1.52667
-36,1.49294
-35,1.45765
-34,1.4222
-33,1.38969
-32,1.35831
-31,1.32751
-30,1.29821
-29,1.26969
-28,1.24265
-27,1.21532
-26,1.18828
-25,1.16215
-24,1.13578
-23,1.10929
-22,1.08337
-21,1.0579
-20,1.0315
-19,1.00535
-18,0.979056
-17,0.952212
-16,0.926015
-15,0.899918
-14,0.873851
-13,0.846504
-12,0.818535
-11,0.79073
-10,0.7621
-9,0.734943
-8,0.706491
-7,0.680652
-6,0.653907
-5,0.628359
-4,0.605049
-3,0.581711
-2,0.56146
-1,0.543804
0,0.530091
1,0.513025
2,0.505777
3,0.500295
4,0.496844
5,0.494817
